1, Konrad Geßner, p1283, , Heinrich Bullinger [Antistes], p495
9548, Johannes Haller d.J., p8018, 18. Januar 1574, Heinrich Bullinger [Antistes], p495
9549, Tobias Egli (Iconius Götz), p8016, 19. Januar 1574, Heinrich Bullinger [Antistes], p495
9550, Heinrich Bullinger [Antistes], p495, 20. Januar 1574, Théodor de Bèze (Beza), p8033
9551, Heinrich Bullinger [Antistes], p495, 20. Januar 1574, Lorenz Dürnhofer, p850
9552, Heinrich Bullinger [Antistes], p495, 20. Januar 1574, Friedrich III. «der Fromme» Kurfürst von der Pfalz, p8060
9553, Heinrich Bullinger [Antistes], p495, 14. Januar 1574, Friedrich III. «der Fromme» Kurfürst von der Pfalz, p8060
9554, Hans Liner, p1918, 20. Januar 1574, Heinrich Bullinger [Antistes], p495
9555, Johann Konrad Ulmer (von Ulm ab Ulmis), p8109, 21. Januar 1574, Heinrich Bullinger [Antistes], p495
9556, Heinrich Bullinger [Antistes], p495, 22. Januar 1574, Tobias Egli (Iconius Götz), p8016
9557, Heinrich Bullinger [Antistes], p495, 22. Januar 1574, Johann Konrad Ulmer (von Ulm ab Ulmis), p8109
9558, Heinrich Bullinger [Antistes], p495, 23. Januar 1574, Théodor de Bèze (Beza), p8033
9559, Thomas Erastus (Lüber), p8075, 24. Januar 1574, Heinrich Bullinger [Antistes], p495
9560, Hans Liner, p1918, 28. Januar 1574, Heinrich Bullinger [Antistes], p495
9561, Hans Liner, p1918, 2. Februar 1574, Heinrich Bullinger [Antistes], p495
9562, Johannes Haller d.J., p8018, 3. Februar 1574, Heinrich Bullinger [Antistes], p495
9563, Richard Cox, p672, 4. Februar 1574, Heinrich Bullinger [Antistes], p495
9564, Ulrich Philipp von Hohensax, p3619, 4. Februar 1574, Heinrich Bullinger [Antistes], p495
9565, Heinrich Bullinger [Antistes], p495, 5. Februar 1574, Hans Rudolf Bullinger, p477
9566, , , 6. Februar 1574, Heinrich Bullinger [Antistes], p495
9567, John Parkhurst, p2473, 6. Februar 1574, Heinrich Bullinger [Antistes], p495
9568, Zacharias Ursinus (Beer Bär), p8453, 8. Februar 1574, Heinrich Bullinger [Antistes], p495
9569, Heinrich Bullinger [Antistes], p495, 10. Februar 1574, Rudolf Gwalther (Walter Gualtherus Walthart) d.Ä., p8011
9570, Johannes Bechlin, p8027, 12. Februar 1574, Heinrich Bullinger [Antistes], p495
9571, Théodor de Bèze (Beza), p8033, 13. Februar 1574, Heinrich Bullinger [Antistes], p495
9572, Sr. de Hautefort Jean de Bellièvre, p8161, Februar 1574, Heinrich Bullinger [Antistes], p495
9573, Tobias Egli (Iconius Götz), p8016, 15. Februar 1574, Heinrich Bullinger [Antistes], p495
9574, Gabriel Schlüsselberger, p2923, 16. Februar 1574, Heinrich Bullinger [Antistes], p495
9575, Lorenz Dürnhofer, p850, 17. Februar 1574, Heinrich Bullinger [Antistes], p495
9576, Johannes Hug (Hugo) d.Ä., p8039, 17. Februar 1574, Heinrich Bullinger [Antistes], p495
9577, Heinrich Bullinger [Antistes], p495, 20. Februar 1574, Théodor de Bèze (Beza), p8033
9578, Tobias Egli (Iconius Götz), p8016, 22. Februar 1574, Heinrich Bullinger [Antistes], p495
9579, Sr. de Hautefort Jean de Bellièvre, p8161, 23. Februar 1574, Heinrich Bullinger [Antistes], p495
9580, Heinrich Bullinger [Antistes], p495, 23. Februar 1574, Hans Rudolf Bullinger, p477
9581, Heinrich Bullinger [Antistes], p495, , Johann Konrad Ulmer (von Ulm ab Ulmis), p8109
9582, Johannes Hug (Hugo) d.Ä., p8039, 1. März 1574, Heinrich Bullinger [Antistes], p495
9583, Johannes Haller d.J., p8018, 2. März 1574, Heinrich Bullinger [Antistes], p495
9584, Heinrich Bullinger [Antistes], p495, 4. März 1574, Hans Rudolf Bullinger, p477
9585, Johann Konrad Ulmer (von Ulm ab Ulmis), p8109, 4. März 1574, Heinrich Bullinger [Antistes], p495
9586, Heinrich Bullinger [Antistes], p495, 5. März 1574, Tobias Egli (Iconius Götz), p8016
9587, Heinrich Bullinger [Antistes], p495, 5. März 1574, Johann Konrad Ulmer (von Ulm ab Ulmis), p8109
9588, Tobias Egli (Iconius Götz), p8016, 8. März 1574, Heinrich Bullinger [Antistes], p495
9589, Hans Liner, p1918, 8. März 1574, Heinrich Bullinger [Antistes], p495
9590, Heinrich Bullinger [Antistes], p495, 10. März 1574, Richard Cox, p672
9591, Heinrich Bullinger [Antistes], p495, 10. März 1574, Lorenz Dürnhofer, p850
9592, Heinrich Bullinger [Antistes], p495, 10. März 1574, Wilhelm IV. von Hessen (der Weise), p8096
9593, Heinrich Bullinger [Antistes], p495, 10. März 1574, Edwin Sandys, p2867
9594, Heinrich Bullinger [Antistes], p495, 10. März 1574, Edmund Grindal, p1341
9595, Heinrich Bullinger [Antistes], p495, 10. März 1574, Ludwig von Wittgenstein (Sayn-Wittgenstein), p8030
9596, Johannes Haller d.J., p8018, 11. März 1574, Heinrich Bullinger [Antistes], p495
9597, Johann Konrad Ulmer (von Ulm ab Ulmis), p8109, 11. März 1574, Heinrich Bullinger [Antistes], p495
9598, Théodor de Bèze (Beza), p8033, 12. März 1574, Heinrich Bullinger [Antistes], p495
9599, Heinrich Bullinger [Antistes], p495, 12. März 1574, Johann Konrad Ulmer (von Ulm ab Ulmis), p8109
9600, Heinrich Bullinger [Antistes], p495, 12. März 1574, Ludwig von Wittgenstein (Sayn-Wittgenstein), p8030
9601, Tobias Egli (Iconius Götz), p8016, , Heinrich Bullinger [Antistes], p495
9602, Johann Baptist Müller, p2242, 15. März 1574, Heinrich Bullinger [Antistes], p495
9603, Sr. de Hautefort Jean de Bellièvre, p8161, 16. März 1574, Heinrich Bullinger [Antistes], p495
9604, Heinrich Bullinger [Antistes], p495, 17. März 1574, Rudolf Gwalther (Walter Gualtherus Walthart) d.Ä., p8011
9605, Heinrich Bullinger [Antistes], p495, 19. März 1574, Tobias Egli (Iconius Götz), p8016
9606, Johannes Hug (Hugo) d.Ä., p8039, 20. März 1574, Heinrich Bullinger [Antistes], p495
9607, David Wetter, p3933, 21. März 1574, Heinrich Bullinger [Antistes], p495
9608, Johannes Hug (Hugo) d.Ä., p8039, 22. März 1574, Heinrich Bullinger [Antistes], p495
9609, Heinrich Bullinger [Antistes], p495, 24. März 1574, Lorenz Dürnhofer, p850
9610, Johannes Hug (Hugo) d.Ä., p8039, 24. März 1574, Heinrich Bullinger [Antistes], p495
9611, Johann Konrad Ulmer (von Ulm ab Ulmis), p8109, 25. März 1574, Heinrich Bullinger [Antistes], p495
9612, Sr. de Hautefort Jean de Bellièvre, p8161, 27. März 1574, Heinrich Bullinger [Antistes], p495
9613, Johann Baptist Müller, p2242, 27. März 1574, Heinrich Bullinger [Antistes], p495
9614, Théodor de Bèze (Beza), p8033, 28. März 1574, Heinrich Bullinger [Antistes], p495
9615, Hubert Languet, p1878, 28. März 1574, Heinrich Bullinger [Antistes], p495
9616, Tobias Egli (Iconius Götz), p8016, 29. März 1574, Heinrich Bullinger [Antistes], p495
9617, Tobias Egli (Iconius Götz), p8016, 29. März 1574, Heinrich Bullinger [Antistes], p495
9618, Zacharias Ursinus (Beer Bär), p8453, 30. März 1574, Heinrich Bullinger [Antistes], p495
9619, Josua Finsler (Vinslerus), p8080, 31. März 1574, Heinrich Bullinger [Antistes], p495
9620, Johann Konrad Ulmer (von Ulm ab Ulmis), p8109, April 1574, Heinrich Bullinger [Antistes], p495
9621, Ludwig von Wittgenstein (Sayn-Wittgenstein), p8030, 1. April 1574, Heinrich Bullinger [Antistes], p495
9622, Ludwig von Wittgenstein (Sayn-Wittgenstein), p8030, 1. April 1574, Heinrich Bullinger [Antistes], p495
9623, Heinrich Bullinger [Antistes], p495, 2. April 1574, Tobias Egli (Iconius Götz), p8016
9624, Johannes Haller d.J., p8018, 2. April 1574, Heinrich Bullinger [Antistes], p495
9625, Georg Willer (Wüller), p8518, 4. April 1574, Heinrich Bullinger [Antistes], p495
9626, Heinrich Bullinger [Antistes], p495, 5. April 1574, Hans Rudolf Bullinger, p477
9627, , , , , 
9628, , , , , 
9629, , , , , 
9630, Heinrich Bullinger [Antistes], p495, 6. April 1574, Johannes Haller d.J., p8018
9631, Johann Brandmüller, p8301, 6. April 1574, Heinrich Bullinger [Antistes], p495
9632, Johannes Heinrich Matthäus, p2066, 8. April 1574, Heinrich Bullinger [Antistes], p495
9633, Johannes Heinrich Matthäus, p2066, 8. April 1574, Heinrich Bullinger [Antistes], p495
9634, Rasmus (Erasmus) Glad (Laetus), p8365, 9. April 1574, Heinrich Bullinger [Antistes], p495
9635, Heinrich Bullinger [Antistes], p495, 10. April 1574, Hans Rudolf Bullinger, p477
9636, Tobias Egli (Iconius Götz), p8016, 13. April 1574, Heinrich Bullinger [Antistes], p495
9637, Konrad Dasypodius (Hasenfratz), p8074, 15. April 1574, Heinrich Bullinger [Antistes], p495
9638, Hans Liner, p1918, 15. April 1574, Heinrich Bullinger [Antistes], p495
9639, Heinrich Bullinger [Antistes], p495, 17. April 1574, Théodor de Bèze (Beza), p8033
9640, Tobias Egli (Iconius Götz), p8016, 17. April 1574, Heinrich Bullinger [Antistes], p495
9641, Johannes Haller d.J., p8018, 17. April 1574, Heinrich Bullinger [Antistes], p495
9642, Scipione Lentolo (Lentulus), p8089, 17. April 1574, Heinrich Bullinger [Antistes], p495
9643, Hans Liner, p1918, 20. April 1574, Heinrich Bullinger [Antistes], p495
9644, Hans Liner, p1918, 22. April 1574, Heinrich Bullinger [Antistes], p495
9645, Heinrich Bullinger [Antistes], p495, 23. April 1574, Tobias Egli (Iconius Götz), p8016
9646, Johannes Haller d.J., p8018, 24. April 1574, Heinrich Bullinger [Antistes], p495
9647, Scipione Lentolo (Lentulus), p8089, 24. April 1574, Heinrich Bullinger [Antistes], p495
9648, Matthias Bachofen, p266, 25. April 1574, Heinrich Bullinger [Antistes], p495
9650, , , 27. April 1574, Johannes Heinrich Matthäus, p2066
9651, Tobias Egli (Iconius Götz), p8016, 27. April 1574, Heinrich Bullinger [Antistes], p495
9652, Hans Liner, p1918, 29. April 1574, Heinrich Bullinger [Antistes], p495
9653, Christoph (Krystof) Thretius (Treciusz Trecki Trecy), p8511, 29. April 1574, Heinrich Bullinger [Antistes], p495
9654, Johann Konrad Ulmer (von Ulm ab Ulmis), p8109, 29. April 1574, Heinrich Bullinger [Antistes], p495
9655, Heinrich Bullinger [Antistes], p495, 30. April 1574, Johann Konrad Ulmer (von Ulm ab Ulmis), p8109
9656, Scipione Lentolo (Lentulus), p8089, Mai 1574, Heinrich Bullinger [Antistes], p495
9657, Christoph Aichinger, p147, 2. Mai 1574, Heinrich Bullinger [Antistes], p495
9658, Johann Baptist Müller, p2242, 2. Mai 1574, Heinrich Bullinger [Antistes], p495
9659, Johannes Haller d.J., p8018, 5. Mai 1574, Heinrich Bullinger [Antistes], p495
9660, Johann Konrad Ulmer (von Ulm ab Ulmis), p8109, 6. Mai 1574, Heinrich Bullinger [Antistes], p495
9661, Heinrich Bullinger [Antistes], p495, 7. Mai 1574, Tobias Egli (Iconius Götz), p8016
9662, Heinrich Bullinger [Antistes], p495, 7. Mai 1574, Johann Konrad Ulmer (von Ulm ab Ulmis), p8109
9663, Heinrich Bullinger [Antistes], p495, 8. Mai 1574, Théodor de Bèze (Beza), p8033
9664, Heinrich Bullinger [Antistes], p495, 10. Mai 1574, , 
9665, Heinrich Bullinger [Antistes], p495, 10. Mai 1574, Johann Konrad Ulmer (von Ulm ab Ulmis), p8109
9666, Thomas Erastus (Lüber), p8075, 10. Mai 1574, Heinrich Bullinger [Antistes], p495
9667, Johannes Hug (Hugo) d.Ä., p8039, 12. Mai 1574, Heinrich Bullinger [Antistes], p495
9668, Johannes Haller d.J., p8018, 13. Mai 1574, Heinrich Bullinger [Antistes], p495
9669, Scipione Lentolo (Lentulus), p8089, 13. Mai 1574, Heinrich Bullinger [Antistes], p495
9670, Théodor de Bèze (Beza), p8033, 14. Mai 1574, Heinrich Bullinger [Antistes], p495
9671, Johann Konrad Ulmer (von Ulm ab Ulmis), p8109, 13. Mai 1574, Heinrich Bullinger [Antistes], p495
9672, Tobias Egli (Iconius Götz), p8016, 18. Mai 1574, Heinrich Bullinger [Antistes], p495
9673, Thomas Erastus (Lüber), p8075, 20. Mai 1574, Heinrich Bullinger [Antistes], p495
9674, Heinrich Bullinger [Antistes], p495, 21. Mai 1574, Tobias Egli (Iconius Götz), p8016
9675, Heinrich Bullinger [Antistes], p495, 21. Mai 1574, Tobias Egli (Iconius Götz), p8016
9676, Johannes Brunner, p464, 23. Mai 1574, Heinrich Bullinger [Antistes], p495
9677, Johannes Hug (Hugo) d.Ä., p8039, 23. Mai 1574, Heinrich Bullinger [Antistes], p495
9678, Hans Rudolf Bullinger, p477, 23. Mai 1574, Heinrich Bullinger [Antistes], p495
9679, Georg Kugelmann, p1850, 23. Mai 1574, Heinrich Bullinger [Antistes], p495
9680, Heinrich Bullinger [Antistes], p495, 24. Mai 1574, Lorenz Dürnhofer, p850
9681, Tobias Egli (Iconius Götz), p8016, 25. Mai 1574, Heinrich Bullinger [Antistes], p495
9682, Johann Konrad Ulmer (von Ulm ab Ulmis), p8109, 27. Mai 1574, Heinrich Bullinger [Antistes], p495
9683, Heinrich Bullinger [Antistes], p495, 28. Mai 1574, Johann Konrad Ulmer (von Ulm ab Ulmis), p8109
9684, Hans Liner, p1918, 30. Mai 1574, Heinrich Bullinger [Antistes], p495
9685, Matthieu Coignet d.J., p613, 31. Mai 1574, Heinrich Bullinger [Antistes], p495
9686, Gabriel Schlüsselberger, p2923, 31. Mai 1574, Heinrich Bullinger [Antistes], p495
9687, Théodor de Bèze (Beza), p8033, Juni 1574, Heinrich Bullinger [Antistes], p495
9688, Pawel (Paul) Gilowski, p8010, 1. Juni 1574, Heinrich Bullinger [Antistes], p495
9689, Johann Jakob Grynäus, p8067, 2. Juni 1574, Heinrich Bullinger [Antistes], p495
9690, Ulrich Philipp von Hohensax, p3619, 2. Juni 1574, Heinrich Bullinger [Antistes], p495
9691, Tobias Egli (Iconius Götz), p8016, 3. Juni 1574, Heinrich Bullinger [Antistes], p495
9692, Heinrich Bullinger [Antistes], p495, 4. Juni 1574, Tobias Egli (Iconius Götz), p8016
9693, Heinrich Bullinger [Antistes], p495, 4. Juni 1574, Tobias Egli (Iconius Götz), p8016
9694, Johann Konrad Ulmer (von Ulm ab Ulmis), p8109, 5. Juni 1574, Heinrich Bullinger [Antistes], p495
9695, Johann Jakob Murer, p2169, 6. Juni 1574, Heinrich Bullinger [Antistes], p495
9696, Heinrich Bullinger [Antistes], p495, 7. Juni 1574, Tobias Egli (Iconius Götz), p8016
9697, Henry de Bourbon, p904, 7. Juni 1574, Heinrich Bullinger [Antistes], p495
9698, Hans Liner, p1918, 7. Juni 1574, Heinrich Bullinger [Antistes], p495
9699, Wolf (Wolfgang) Haller von Raitenbuch, p8370, 7. Juni 1574, Heinrich Bullinger [Antistes], p495
9700, Heinrich Bullinger [Antistes], p495, 9. Juni 1574, David Wetter, p3933
9701, Georg Kugelmann, p1850, 10. Juni 1574, Heinrich Bullinger [Antistes], p495
9702, Tobias Egli (Iconius Götz), p8016, 14. Juni 1574, Heinrich Bullinger [Antistes], p495
9703, Hans Liner, p1918, 15. Juni 1574, Heinrich Bullinger [Antistes], p495
9704, David Wetter, p3933, 15. Juni 1574, Heinrich Bullinger [Antistes], p495
9705, Durich (Duri Ulrich) Chiampell (Campell), p8057, 16. Juni 1574, Heinrich Bullinger [Antistes], p495
9706, Thomas Erastus (Lüber), p8075, 16. Juni 1574, Heinrich Bullinger [Antistes], p495
9707, Johann Konrad Ulmer (von Ulm ab Ulmis), p8109, 17. Juni 1574, Heinrich Bullinger [Antistes], p495
9708, Heinrich Bullinger [Antistes], p495, 18. Juni 1574, Tobias Egli (Iconius Götz), p8016
9709, Heinrich Bullinger [Antistes], p495, 18. Juni 1574, Johann Wilhelm Stucki, p3050
9710, Heinrich Bullinger [Antistes], p495, 18. Juni 1574, Johann Konrad Ulmer (von Ulm ab Ulmis), p8109
9711, Johannes Haller d.J., p8018, 18. Juni 1574, Heinrich Bullinger [Antistes], p495
9712, Théodor de Bèze (Beza), p8033, 19. Juni 1574, Heinrich Bullinger [Antistes], p495
9713, Sr. de Hautefort Jean de Bellièvre, p8161, 21. Juni 1574, Heinrich Bullinger [Antistes], p495
9714, Johannes Haller d.J., p8018, 21. Juni 1574, Heinrich Bullinger [Antistes], p495
9715, Johann Konrad Ulmer (von Ulm ab Ulmis), p8109, 21. Juni 1574, Heinrich Bullinger [Antistes], p495
9716, Eusebius Kleber (Cleber), p8058, 22. Juni 1574, Heinrich Bullinger [Antistes], p495
9717, Hans Liner, p1918, 22. Juni 1574, Heinrich Bullinger [Antistes], p495
9718, Georg Kugelmann, p1850, 23. Juni 1574, Heinrich Bullinger [Antistes], p495
9719, Heinrich Bullinger [Antistes], p495, 25. Juni 1574, Lorenz Dürnhofer, p850
9720, Heinrich Bullinger [Antistes], p495, , Georg Keller (Cellarius), p8395
9721, Hans Rudolf Bullinger, p477, 28. Juni 1574, Heinrich Bullinger [Antistes], p495
9722, Heinrich Bullinger [Antistes], p495, 28. Juni 1574, Théodor de Bèze (Beza), p8033
9723, Heinrich Bullinger [Antistes], p495, 28. Juni 1574, Henry de Bourbon, p904
9724, Johannes Haller d.J., p8018, 29. Juni 1574, Heinrich Bullinger [Antistes], p495
9725, Hans Liner, p1918, 29. Juni 1574, Heinrich Bullinger [Antistes], p495
9726, John Parkhurst, p2473, 29. Juni 1574, Heinrich Bullinger [Antistes], p495
9727, Heinrich Bullinger [Antistes], p495, 30. Juni 1574, Sr. de Hautefort Jean de Bellièvre, p8161
9728, Josua Finsler (Vinslerus), p8080, 30. Juni 1574, Heinrich Bullinger [Antistes], p495
9729, Matthieu Coignet d.J., p613, 1. Juli 1574, Heinrich Bullinger [Antistes], p495
9730, Heinrich Bullinger [Antistes], p495, 4. Juli 1574, Josua Finsler (Vinslerus), p8080
9731, Hans Liner, p1918, 4. Juli 1574, Heinrich Bullinger [Antistes], p495
9732, Antonio Del Corro, p8324, 7. Juli 1574, Heinrich Bullinger [Antistes], p495
9733, Heinrich Bullinger [Antistes], p495, 9. Juli 1574, Eusebius Kleber (Cleber), p8058
9734, Heinrich Bullinger [Antistes], p495, 10. Juli 1574, Hans Rudolf Bullinger, p477
9735, Sebastian Schmid, p2925, 10. Juli 1574, Heinrich Bullinger [Antistes], p495
9736, Johannes Haller d.J., p8018, 12. Juli 1574, Heinrich Bullinger [Antistes], p495
9737, Johann Konrad Ulmer (von Ulm ab Ulmis), p8109, 12. Juli 1574, Heinrich Bullinger [Antistes], p495
9738, Hans Liner, p1918, 12. Juli 1574, Heinrich Bullinger [Antistes], p495
9739, Lorenz Dürnhofer, p850, 13. Juli 1574, Heinrich Bullinger [Antistes], p495
9740, Ludwig Wichser, p3937, 13. Juli 1574, Heinrich Bullinger [Antistes], p495
9741, Théodor de Bèze (Beza), p8033, 14. Juli 1574, Heinrich Bullinger [Antistes], p495
9742, Heinrich Bullinger [Antistes], p495, 14. Juli 1574, Théodor de Bèze (Beza), p8033
9743, Heinrich Bullinger [Antistes], p495, 14. Juli 1574, Lorenz Dürnhofer, p850
9744, Thomas Erastus (Lüber), p8075, 16. Juli 1574, Heinrich Bullinger [Antistes], p495
9745, Zacharias Ursinus (Beer Bär), p8453, 16. Juli 1574, Heinrich Bullinger [Antistes], p495
9746, Johannes Haller d.J., p8018, 17. Juli 1574, Heinrich Bullinger [Antistes], p495
9747, Johannes Haller d.J., p8018, 17. Juli 1574, Heinrich Bullinger [Antistes], p495
9748, Heinrich Bullinger [Antistes], p495, 18. Juli 1574, Henry de Bourbon, p904
9749, Richard Cox, p672, 20. Juli 1574, Heinrich Bullinger [Antistes], p495
9750, Gabriel Schlüsselberger, p2923, 20. Juli 1574, Heinrich Bullinger [Antistes], p495
9751, Johann Konrad Ulmer (von Ulm ab Ulmis), p8109, 22. Juli 1574, Heinrich Bullinger [Antistes], p495
9752, Heinrich Bullinger [Antistes], p495, 24. Juli 1574, Hans Rudolf Bullinger, p477
9753, Ulrich Philipp von Hohensax, p3619, 24. Juli 1574, Heinrich Bullinger [Antistes], p495
9754, Heinrich Bullinger [Antistes], p495, 25. Juli 1574, Matthieu Coignet d.J., p613
9755, Hans Liner, p1918, 25. Juli 1574, Heinrich Bullinger [Antistes], p495
9756, Sr. de Hautefort Jean de Bellièvre, p8161, 26. Juli 1574, Heinrich Bullinger [Antistes], p495
9757, Tobias Egli (Iconius Götz), p8016, 26. Juli 1574, Heinrich Bullinger [Antistes], p495
9758, Heinrich Bullinger [Antistes], p495, 30. Juli 1574, Tobias Egli (Iconius Götz), p8016
9759, Tobias Egli (Iconius Götz), p8016, 30. Juli 1574, Heinrich Bullinger [Antistes], p495
9760, Gabriel Schlüsselberger, p2923, 31. Juli 1574, Heinrich Bullinger [Antistes], p495
9761, Heinrich Bullinger [Antistes], p495, 31. Juli 1574, Hans Rudolf Bullinger, p477
9762, Scipione Lentolo (Lentulus), p8089, Juli 1574, Heinrich Bullinger [Antistes], p495
9763, Lorenz Dürnhofer, p850, 1. August 1574, Heinrich Bullinger [Antistes], p495
9764, Matthias Bachofen, p266, 5. August 1574, Heinrich Bullinger [Antistes], p495
9765, Heinrich Bullinger [Antistes], p495, 6. August 1574, Tobias Egli (Iconius Götz), p8016
9766, Georg Kugelmann, p1850, 6. August 1574, Heinrich Bullinger [Antistes], p495
9767, Heinrich Bullinger [Antistes], p495, 7. August 1574, Hans Rudolf Bullinger, p477
9768, Tobias Egli (Iconius Götz), p8016, 9. August 1574, Heinrich Bullinger [Antistes], p495
9769, Ulrich Philipp von Hohensax, p3619, 9. August 1574, Heinrich Bullinger [Antistes], p495
9770, Edwin Sandys, p2867, 9. August 1574, Heinrich Bullinger [Antistes], p495
9771, Heinrich Bullinger [Antistes], p495, 14. August 1574, Hans Rudolf Bullinger, p477
9772, Johann Jakob Grynäus, p8067, 17. August 1574, Heinrich Bullinger [Antistes], p495
9773, Matthieu Coignet d.J., p613, 19. August 1574, Heinrich Bullinger [Antistes], p495
9774, Heinrich Bullinger [Antistes], p495, 20. August 1574, Tobias Egli (Iconius Götz), p8016
9775, Heinrich Bullinger [Antistes], p495, 20. August 1574, Pawel (Paul) Gilowski, p8010
9776, Johannes Haller d.J., p8018, 20. August 1574, Heinrich Bullinger [Antistes], p495
9777, Ulrich Philipp von Hohensax, p3619, 21. August 1574, Heinrich Bullinger [Antistes], p495
9778, Théodor de Bèze (Beza), p8033, 22. August 1574, Heinrich Bullinger [Antistes], p495
9779, Tobias Egli (Iconius Götz), p8016, 24. August 1574, Heinrich Bullinger [Antistes], p495
9780, Heinrich Bullinger [Antistes], p495, 26. August 1574, Ludwig von Wittgenstein (Sayn-Wittgenstein), p8030
9781, Tobias Egli (Iconius Götz), p8016, 26. August 1574, Heinrich Bullinger [Antistes], p495
9782, Heinrich Bullinger [Antistes], p495, 27. August 1574, Hans Rudolf Bullinger, p477
9783, Heinrich Bullinger [Antistes], p495, 27. August 1574, Tobias Egli (Iconius Götz), p8016
9784, Josua Finsler (Vinslerus), p8080, 27. August 1574, Heinrich Bullinger [Antistes], p495
9785, Zacharias Ursinus (Beer Bär), p8453, 28. August 1574, Heinrich Bullinger [Antistes], p495
9786, Zacharias Ursinus (Beer Bär), p8453, 28. August 1574, Heinrich Bullinger [Antistes], p495
9787, Matthias Bachofen, p266, 31. August 1574, Heinrich Bullinger [Antistes], p495
9788, Johannes Haller d.J., p8018, 31. August 1574, Heinrich Bullinger [Antistes], p495
9789, , , 1. September 1574, , 
9790, François Hotman, p1586, , Heinrich Bullinger [Antistes], p495
9791, Dionysius Melander (Schwarzmann) d.J., p8128, 2. September 1574, Heinrich Bullinger [Antistes], p495
9792, Gabriel Schlüsselberger, p2923, 6. September 1574, Heinrich Bullinger [Antistes], p495
9793, Jost Schmid, p2924, 7. September 1574, Heinrich Bullinger [Antistes], p495
9794, Ludwig von Wittgenstein (Sayn-Wittgenstein), p8030, 8. September 1574, Heinrich Bullinger [Antistes], p495
9795, Johann Konrad Ulmer (von Ulm ab Ulmis), p8109, 9. September 1574, Heinrich Bullinger [Antistes], p495
9796, Théodor de Bèze (Beza), p8033, 10. September 1574, Heinrich Bullinger [Antistes], p495
9797, Tobias Egli (Iconius Götz), p8016, 13. September 1574, Heinrich Bullinger [Antistes], p495
9798, Zacharias Ursinus (Beer Bär), p8453, 14. September 1574, Heinrich Bullinger [Antistes], p495
9799, Johann Konrad Ulmer (von Ulm ab Ulmis), p8109, 16. September 1574, Heinrich Bullinger [Antistes], p495
9800, Heinrich Bullinger [Antistes], p495, 17. September 1574, Tobias Egli (Iconius Götz), p8016
9801, Heinrich Bullinger [Antistes], p495, 18. September 1574, Hans Rudolf Bullinger, p477
9802, Johannes Hospinian (Wirth), p8384, 18. September 1574, Heinrich Bullinger [Antistes], p495
9803, , , 18. September 1574, Heinrich II. König von Frankreich (Valois), p8112
9804, Johann Konrad Ulmer (von Ulm ab Ulmis), p8109, 23. September 1574, Heinrich Bullinger [Antistes], p495
9805, Tobias Egli (Iconius Götz), p8016, 25. September 1574, Heinrich Bullinger [Antistes], p495
9806, Heinrich Bullinger [Antistes], p495, 27. September 1574, Hans Rudolf Bullinger, p477
9807, Girolamo Zanchi, p4037, 27. September 1574, Heinrich Bullinger [Antistes], p495
9808, Johannes Haller d.J., p8018, 29. September 1574, Heinrich Bullinger [Antistes], p495
9809, Zacharias Ursinus (Beer Bär), p8453, 29. September 1574, Heinrich Bullinger [Antistes], p495
9810, Thomas Erastus (Lüber), p8075, 30. September 1574, Heinrich Bullinger [Antistes], p495
9811, Heinrich Bullinger [Antistes], p495, 1. Oktober 1574, Tobias Egli (Iconius Götz), p8016
9812, Hans Liner, p1918, 4. Oktober 1574, Heinrich Bullinger [Antistes], p495
9813, Heinrich Bullinger [Antistes], p495, 8. Oktober 1574, Théodor de Bèze (Beza), p8033
9814, Thomas Erastus (Lüber), p8075, 11. Oktober 1574, Heinrich Bullinger [Antistes], p495
9815, Tobias Egli (Iconius Götz), p8016, 17. Oktober 1574, Heinrich Bullinger [Antistes], p495
9816, Hans Liner, p1918, 18. Oktober 1574, Heinrich Bullinger [Antistes], p495
9817, Nikolaus Zurkinden (Zerchintes), p8095, 20. Oktober 1574, Heinrich Bullinger [Antistes], p495
9818, Johannes Haller d.J., p8018, 21. Oktober 1574, Heinrich Bullinger [Antistes], p495
9819, Gabriel Schlüsselberger, p2923, 21. Oktober 1574, Heinrich Bullinger [Antistes], p495
9820, Heinrich Bullinger [Antistes], p495, 22. Oktober 1574, Tobias Egli (Iconius Götz), p8016
9821, Heinrich Bullinger [Antistes], p495, 22. Oktober 1574, Tobias Egli (Iconius Götz), p8016
9822, Hans Liner, p1918, 27. Oktober 1574, Heinrich Bullinger [Antistes], p495
9823, Jakob Monau, p2131, 28. Oktober 1574, Heinrich Bullinger [Antistes], p495
9824, Johann Konrad Ulmer (von Ulm ab Ulmis), p8109, 28. Oktober 1574, Heinrich Bullinger [Antistes], p495
9825, Christoph (Krystof) Thretius (Treciusz Trecki Trecy), p8511, 1. November 1574, Heinrich Bullinger [Antistes], p495
9826, Gabriel Schlüsselberger, p2923, 3. November 1574, Heinrich Bullinger [Antistes], p495
9827, Nikolaus Zurkinden (Zerchintes), p8095, 3. November 1574, Heinrich Bullinger [Antistes], p495
9828, Théodor de Bèze (Beza), p8033, 10. November 1574, Heinrich Bullinger [Antistes], p495
9829, Jean de la Fin Sr. de Beauvoir-La Nocle, p8065, 14. November 1574, Heinrich Bullinger [Antistes], p495
